date,type,description,year
9/3/2025,regular,First Day of Instruction,2025-26
9/8/2025,In-service,Teacher Workday,2025-26
10/6/2025,In-service,Teacher Workday,2025-26
1/11/2025,closed,Mei's Bday,2025-26
11/3/2025,In-service,Teacher Workday,2025-26
12/1/2025,In-service,Teacher Workday,2025-26
1/5/2026,In-service,Teacher Workday,2025-26
2/2/2026,In-service,Teacher Workday,2025-26
2/7/2026,closed,Heart Day,2025-26
3/2/2026,In-service,Teacher Workday,2025-26
4/6/2026,In-service,Teacher Workday,2025-26
5/4/2026,In-service,Teacher Workday,2025-26
6/1/2026,In-service,Teacher Workday,2025-26
6/16/2026,regular,Last Day of School,2025-26
